Iloœæ;Wym.A;Wym.B;Okreœlenie;Typ p³yty;Gruboœæ;Obrót;Optymalizacja;Pnr.;Knr.;Polec. Obr.;KrawêdŸ A dolna;KrawêdŸ A gorna;KrawêdŸ B prawa;KrawêdŸ B lewa;Tekst oper.1;Tekst oper.2;Tekst oper.3;Tekst oper.4;Tekst oper.5;Tekst oper.6;Tekst oper.7;Tekst oper.8;Tekst oper.9;Tekst oper.10;Tekst oper.11;Tekst oper.12;Schem. Etk.(1);IL.Etk.(1);IL.jedn.Etk.(1);Il.jedn.Etk.;Etk. Grafika
1;2300;1164;Plecy;40-10-01-D2609MX;10;2;1;;;;58-2X22-D2609MX;;;;40-10-01-D2609MX;1_Rear_wall;D6-173-22;2300 x 1164;;K84161;KUBE SKRZYNIA 29;173X20484_D6_XX;;;;3121X;etykieta.xml;1;1;Na pakiet;komandor.bmp
1;2500;580;Œcianka_boczna;40-18-01-D2609MX;18;2;1;;;;58-2X22-D2609MX;;;;40-18-01-D2609MX;2_Side_Wall;D6-173-22;2500 x 580;;K84161;KUBE SKRZYNIA 29;173X26878_D6_S0;;;;3121X;etykieta.xml;1;1;Na pakiet;komandor.bmp
1;2500;580;Œcianka_boczna;40-28-01-D2609MX;28;2;1;;;;58-2X22-D2609MX;;;;40-28-01-D2609MX;2_Side_Wall;D6-173-22;2500 x 580;;K84161;KUBE SKRZYNIA 29;173X26878_D6_S0;;;;3121X;etykieta.xml;1;1;Na pakiet;komandor.bmp
1;2500;580;Œcianka_boczna;40-36-01-D2609MX;36;2;1;;;;58-2X22-D2609MX;;;;40-36-01-D2609MX;2_Side_Wall;D6-173-22;2500 x 580;;K84161;KUBE SKRZYNIA 29;173X26878_D6_S0;;;;3121X;etykieta.xml;1;1;Na pakiet;komandor.bmp
